timestamp,gross_return,trading_cost,net_return,turnover,gross_exposure,equity,benchmark_return,benchmark_equity,drawdown
2021-01-29,0.004699378012470622,0.00049,0.004209378012470622,0.7,0.7,100420.93780124706,-0.007278545861475434,99272.14541385246,0.0
2021-02-01,-0.004755997372320641,0.00098,-0.005735997372320641,1.4,0.7,99844.92356589313,-0.002634442293687663,99010.61867538908,-0.005735997372320667
2021-02-02,0.0031523923085449157,0.0007349999999999999,0.0024173923085449157,1.0499999999999998,0.35,100086.28791616856,-0.0012184024097625645,98889.98389900291,-0.0033324712197055906
2021-02-03,0.0006485151146306108,0.000782140155963197,-0.00013362504133258618,1.1173430799474242,0.7673430799474243,100072.91388180893,-0.003091142108632113,98584.30090565074,-0.0034656509594337415
2021-02-04,0.0008236964401897917,0.00029214015596319703,0.0005315562842265946,0.41734307994742437,0.35,100126.10826806365,0.011199176132387079,99688.36385538138,-0.0029359368637538186
2021-02-05,-0.0008646307896007954,0.0,-0.0008646307896007954,0.0,0.35,100039.53615201218,-0.008267877920597503,98864.15263292099,-0.0037980291519458254
2021-02-08,0.00013090745640448667,0.00015529764989089326,-2.4390193486406586e-05,0.22185378555841895,0.5718537855584189,100037.09616836913,-0.007929125132045911,98080.24639562087,-0.0038223267107665437
2021-02-09,0.00506131161188669,7.32259482378923e-06,0.0050539890170629015,0.010460849748270329,0.5823146353066893,100542.68255370294,0.0013450279151341338,98212.16706494622,0.0
2021-02-10,-0.0009983552560873798,0.0005723797552853175,-0.0015707350113726972,0.8176853646933107,0.7,100384.75664207849,-0.0004502794379830736,98167.94414555712,-0.0015707350113728369
2021-02-11,0.0019032986417078705,0.0006827661587690275,0.001220532482938843,0.9753802268128964,0.8657312843646991,100507.27949835206,-0.002527626166375178,97919.81228123556,-0.00035211966153747554
2021-02-12,-0.0002620373448056545,0.0006827661587690275,-0.000944803503574682,0.9753802268128964,0.7,100412.31986854725,0.0044878024888290735,98359.25705849695,-0.0012965904812223261
2021-02-15,-0.0007144940577605618,0.00049,-0.001204494057760562,0.7,0.7,100291.37382593962,0.0012222026834033766,98479.47200641142,-0.0024995228034530026
2021-02-16,0.00864817187957302,0.00038044661168932663,0.008267725267883693,0.5434951595561809,0.856504840443819,101120.55535147114,-0.002738859731806135,98209.75054612353,0.0
2021-02-17,-0.0013926151485415426,0.0005552393592945308,-0.0019478545078360733,0.7931990847064725,0.35,100923.58722189488,0.004188850655726828,98621.13652409743,-0.0019478545078361886
2021-02-18,-0.0009499310949383053,0.000245,-0.0011949310949383053,0.35,0.7,100802.99048931072,-3.281795628821508e-05,98617.8999799499,-0.003140458050854611
2021-02-19,-0.004096596856427819,0.00049,-0.004586596856427819,0.7,0.7,100340.64781001392,0.0064430745286429,99253.30245937896,-0.007712650892258699
