timestamp,gross_return,trading_cost,net_return,turnover,gross_exposure,equity,benchmark_return,benchmark_equity,drawdown
2021-01-29,0.004699378012470622,0.00049,0.004209378012470622,0.7,0.7,100420.93780124706,-0.007278545861475434,99272.14541385246,0.0
2021-02-01,-0.004755997372320641,0.00098,-0.005735997372320641,1.4,0.7,99844.92356589313,-0.002634442293687663,99010.61867538908,-0.005735997372320667
2021-02-02,0.0,0.00049,-0.00049,0.7,0.0,99795.99955334584,-0.0012184024097625645,98889.98389900291,-0.006223186733608221
2021-02-03,0.0006485151146306108,0.0005371401559631971,0.0001113749586674137,0.7673430799474243,0.7673430799474243,99807.11432867126,-0.003091142108632113,98584.30090565074,-0.006112504882106129
2021-02-04,-0.0043284424326229575,0.00048543759149169023,-0.004813880024114647,0.6934822735595575,0.6261391936121331,99326.65485473994,0.011199176132387079,99688.36385538138,-0.010896960041071435
2021-02-05,-0.0008646307896007954,0.0001932974355284932,-0.0010579282251292886,0.2761391936121331,0.35,99221.57438306144,-0.008267877920597503,98864.15263292099,-0.011943360064605169
2021-02-08,-0.0008203233249052366,0.0,-0.0008203233249052366,0.0,0.35,99140.1806112612,-0.007929125132045911,98080.24639562087,-0.012753885972671686
2021-02-09,0.004964746170626455,0.0,0.004964746170626455,0.0,0.35,99632.38644330617,0.0013450279151341338,98212.16706494622,-0.007852459608588713
2021-02-10,-0.0009983552560873798,0.0007349999999999999,-0.0017333552560873798,1.0499999999999998,0.7,99459.68812258814,-0.0004502794379830736,98167.94414555712,-0.00957220376254031
2021-02-11,0.0019032986417078705,0.0006827661587690275,0.001220532482938843,0.9753802268128964,0.8657312843646991,99581.08190268472,-0.002527626166375178,97919.81228123556,-0.008363354465226958
2021-02-12,-0.0002391679764524146,0.0004377661587690274,-0.000676934135221442,0.6253802268128963,0.35,99513.67206912252,0.0044878024888290735,98359.25705849695,-0.00903462716032577
2021-02-15,-0.0005301756665012647,0.0,-0.0005301756665012647,0.0,0.35,99460.91234170728,0.0012222026834033766,98479.47200641142,-0.009560012887350755
2021-02-16,0.0037553523233057324,0.0,0.0037553523233057324,0.0,0.35,99834.42310994783,-0.002738859731806135,98209.75054612353,-0.005840561780652287
2021-02-17,-0.0013926151485415426,0.00049,-0.0018826151485415426,0.7,0.35,99646.47331265514,0.004188850655726828,98621.13652409743,-0.007712181399109563
2021-02-18,-0.0009499310949383053,0.000245,-0.0011949310949383053,0.35,0.7,99527.40264319292,-3.281795628821508e-05,98617.8999799499,-0.00889789696868415
2021-02-19,-0.0041597221271484795,0.000245,-0.004404722127148479,0.35,0.35,99089.01209051283,0.0064430745286429,99253.30245937896,-0.013263426332169592
2021-02-22,0.0014262231768557398,0.00049,0.0009362231768557398,0.7,0.35,99181.7815202037,0.0008707051254386681,99339.72281854704,-0.012339620682450647
