timestamp,open,high,low,close,volume
2018-01-02,39.77618586634448,40.276426884472016,39.56580192963127,40.26707458496094,102223600.0
2018-01-03,40.33019497342311,40.80238628352514,40.19695500765061,40.260066986083984,118071600.0
2018-01-04,40.3325285848356,40.54992497445396,40.22500210267125,40.44707107543945,89738400.0
2018-01-05,40.54292003219282,40.99407050276175,40.4517547079046,40.9075813293457,94640000.0
2018-01-08,40.75563049316406,41.05016372371372,40.657449182790344,40.75563049316406,82271200.0
2018-01-09,40.802380620103136,40.921595685232134,40.53589715868877,40.750953674316406,86336000.0
2018-01-10,40.47746023211193,40.74394370972359,40.44005816620148,40.74160385131836,95839600.0
2018-01-11,40.8117253834916,41.02210929584681,40.788351771134415,40.973018646240234,74670800.0
2018-01-12,41.18339796582762,41.459233692882485,41.05950676616482,41.3961181640625,101672400.0
2018-01-16,41.58546481936825,41.93376483703263,41.17405283422285,41.18574142456055,118263600.0
2018-01-17,41.17638686955348,41.90103662850465,40.923931879747094,41.86597442626953,137547200.0
2018-01-18,41.92907955526688,42.099725089944926,41.66727230963817,41.90336608886719,124773600.0
2018-01-19,41.75143946684489,41.97818459371661,41.470931097919724,41.71637725830078,129700400.0
2018-01-22,41.44521953992409,41.55742217931307,41.28158994771982,41.375091552734375,108434400.0
2018-01-23,41.44520916986427,41.94545012192714,41.33300655854965,41.384429931640625,130756400.0
2018-01-24,41.43352385908979,41.44521244943131,40.486805111138345,40.72523880004883,204420400.0
2018-01-25,40.793030969529916,40.89588486778186,39.862676869004524,39.99825668334961,166116000.0
2018-01-26,40.206297393461384,40.206297393461384,39.75280718937289,40.09175491333008,156572000.0
2018-01-29,39.77618297744424,39.77618297744424,39.05387305096097,39.26191711425781,202561600.0
2018-01-30,38.693890842913504,39.124003921961055,38.49987162895176,39.03050231933594,184192800.0
2018-01-31,39.007131130020674,39.37413228878434,38.92064195595757,39.13803482055664,129915600.0
2018-02-01,39.07725255770871,39.41620032091382,38.98141109794126,39.219844818115234,188923200.0
2018-02-02,38.8037598511883,38.990766636131845,37.42459150008796,37.51809310913086,346375200.0
2018-02-05,37.19081856416882,38.30817909539416,36.46616890910437,36.580711364746094,290954000.0
2018-02-06,36.19268567354218,38.270790367350905,35.99866645876102,38.1094970703125,272975200.0
2018-02-07,38.12351440723926,38.19597867026354,37.183811712279685,37.29367446899414,206434400.0
2018-02-08,37.46899249081761,37.63496190465887,36.2394291809823,36.267478942871094,217562000.0
2018-02-09,36.866003792290925,37.05846466441262,35.26292961094662,36.71109390258789,282690400.0
2018-02-12,37.20162151236903,38.46671121107945,36.96925678270433,38.189754486083984,243278000.0
2018-02-13,38.01138368785197,38.66857413140311,37.94096978650724,38.57234191894531,130196800.0
2018-02-14,38.26721478410091,39.32341248785229,38.22966380983118,39.283512115478516,162579600.0
2018-02-15,39.851515600178224,40.62606138201437,39.66609578151257,40.60259246826172,204588800.0
2018-02-16,40.45471775078253,41.032107382495894,40.31623936113969,40.47114562988281,160704400.0
2018-02-20,40.381959561813375,40.900667983713674,40.23409073734247,40.335018157958984,135722000.0
2018-02-21,40.56503641863772,40.867811539145606,40.13786137607023,40.151947021484375,149886400.0
2018-02-22,40.32329023698601,40.82791670005755,40.30216713810029,40.487586975097656,123967600.0
2018-02-23,40.76219058627438,41.226916584183606,40.73167706139258,41.19171142578125,135249600.0
2018-02-26,41.39122004619365,42.10473876856565,41.358360702033096,42.006160736083984,152648800.0
2018-02-27,42.03667557380085,42.36057381022389,41.81604700695905,41.87002944946289,155712400.0
2018-02-28,42.074210499816104,42.393416980421165,41.790212749375506,41.806640625,151128400.0
2018-03-01,41.9052339409774,42.19627640895745,40.52513788389774,41.07435989379883,195208000.0
2018-03-02,40.55799246886187,41.37947957033199,40.47584232615504,41.35835647583008,153816000.0
2018-03-05,41.12364926720145,41.71746684872899,40.961698366530335,41.50153350830078,113605600.0
2018-03-06,41.75736630395347,41.837167053383304,41.33958169646813,41.46632385253906,95154000.0
2018-03-07,41.0602787275082,41.27386626316505,40.903023033099316,41.08140182495117,126814000.0
2018-03-08,41.18701833932262,41.57194361047891,41.09078970758341,41.52969741821289,95096400.0
2018-03-09,41.76910458230956,42.2479126835741,41.63531780640628,42.24321746826172,128740800.0
2018-03-12,42.31597330142616,42.80886700334209,42.29719960470139,42.651611328125,128828400.0
2018-03-13,42.855804379874634,43.06939186938944,42.06952607769264,42.24086380004883,126774000.0
2018-03-14,42.3230244232332,42.369965835063375,41.73389842335402,41.88176727294922,117473600.0
2018-03-15,41.89584799922378,42.30424579003283,41.79492414608478,41.931053161621094,90975200.0
2018-03-16,41.93105312956666,42.04136741352731,41.689301464223135,41.78318786621094,157618800.0
2018-03-19,41.61888802159753,41.65409318133053,40.759846310114575,41.144771575927734,133787200.0
2018-03-20,41.13069152832031,41.49683953309172,41.06027762400275,41.13069152832031,78597600.0
2018-03-21,41.08375108302355,41.09548733194154,40.19654510210862,40.19889450073242,148219600.0
2018-03-22,39.90080183419946,40.52982452051389,39.57220842812468,39.63088607788086,165963200.0
2018-03-23,39.522900524378535,39.88200729898363,38.71315002441406,38.71315002441406,164115200.0
2018-03-26,39.44781005466082,40.62840402011539,39.06523065201155,40.55094909667969,150164800.0
2018-03-27,40.76454247240878,41.10956740172063,39.177899826116274,39.51118850708008,163690400.0
2018-03-28,39.25535128853273,39.90550071027378,38.77184798320467,39.074623107910156,166674000.0
2018-03-29,39.386782699739925,40.31154297775571,39.17319520783287,39.37974166870117,153594000.0
2018-04-02,39.11217229534909,39.65200736477822,38.60285074845011,39.121559143066406,150347200.0
2018-04-03,39.34688954482369,39.60741848522696,38.69908950068041,39.52292251586914,121112000.0
2018-04-04,38.69908517590817,40.37256933160999,38.6732668664508,40.2786865234375,138422000.0
2018-04-05,40.506362030743446,40.89363314796675,40.38900671262728,40.55799865722656,107732800.0
2018-04-06,40.128472267405044,40.482883990273784,39.47832289128992,39.520572662353516,140021200.0
2018-04-09,39.872632439602654,40.6260513573316,39.86559140907428,39.912532806396484,116070800.0
2018-04-10,40.604949951171875,40.83966064453125,40.25992494542152,40.66362762451172,113634400.0
2018-04-11,40.424200872692495,40.82086231298436,40.29980455586002,40.47349166870117,89726400.0
2018-04-12,40.70115984930123,41.07434878731882,40.61431450508529,40.87249755859375,91557200.0
2018-04-13,41.02271875981588,41.271511425086416,40.8044396188746,41.010982513427734,100497200.0
2018-04-16,41.081403217619894,41.35366842078155,41.03446180568861,41.26682662963867,86313600.0
2018-04-17,41.42407245506441,41.99911267229984,41.40529517848783,41.834815979003906,106421600.0
2018-04-18,41.733895247128224,41.97095526813903,41.515616087100334,41.740936279296875,83018000.0
2018-04-19,40.78331886242555,41.16589834553228,40.525139311410044,40.55799865722656,139235200.0
2018-04-20,40.04162908827687,40.18714851166951,38.8281721559885,38.896240234375,261964400.0
2018-04-23,39.15677747678798,39.177900575378345,38.51366901785712,38.78358840942383,146062000.0
2018-04-24,38.88450280085499,39.039412648935595,37.84004139740122,38.243743896484375,134768000.0
2018-04-25,38.16863731070807,38.82582771877816,38.11935008940759,38.4103889465332,113528400.0
2018-04-26,38.52070932702644,38.89859360300027,38.3446763459467,38.54418182373047,111852000.0
2018-04-27,38.492536711524295,38.56999163589468,37.701563170268216,38.09822463989258,142623200.0
2018-04-30,38.05363485006051,39.257697923260864,37.98556676309641,38.78827667236328,169709600.0
2018-05-01,39.05819166644517,39.71303266229741,38.790621726653995,39.6895637512207,214277600.0
2018-05-02,41.128348454227634,41.71982032748539,40.79271392537692,41.44286346435547,266157600.0
2018-05-03,41.28090696121748,41.66113703771084,40.94292307926782,41.51796340942383,136272800.0
2018-05-04,41.837176087943014,43.245440079683036,41.818398804951755,43.1468620300293,224805200.0
2018-05-07,43.4637027107898,44.048133333878766,43.36277888225993,43.45901107788086,169805600.0
2018-05-08,43.41911884558,43.70781190513855,43.109299108375836,43.667911529541016,113611200.0
2018-05-09,43.78526492315641,43.98476679241279,43.473099382720285,43.975379943847656,92844800.0
2018-05-10,44.064580428056125,44.68186702612727,44.04345374687312,44.60441207885742,111957200.0
2018-05-11,44.646824986202176,44.781124079827364,44.1661668942968,44.43476867675781,104848800.0
2018-05-14,44.53371098533184,44.65623212523947,44.26275443642257,44.33108139038086,83115200.0
2018-05-15,44.00830061465196,44.076631181678145,43.61246796024898,43.928192138671875,94780800.0
2018-05-16,43.84101955621875,44.40414099361598,43.82452472981287,44.338165283203125,76732400.0
2018-05-17,44.29573644198409,44.51014751846301,43.90932697002195,44.05776596069336,69176000.0
2018-05-18,44.104899251623095,44.25097982122303,43.85514720867744,43.89755630493164,73190800.0
2018-05-21,44.29574904119214,44.594981969565396,44.0389288058782,44.20857238769531,73603200.0
2018-05-22,44.385283144558365,44.503090985077776,44.00829661681228,44.09783172607422,60962800.0
2018-05-23,43.90697946331335,44.41355169174006,43.76796349223717,44.38056564331055,80233600.0
2018-05-24,44.47716553245859,44.493656757810164,43.873990067081564,44.33108139038086,92936000.0
2018-05-25,44.34993283409535,44.68450662598143,44.21327532554309,44.43239974975586,69844000.0
2018-05-29,44.201500640550265,44.472457219965484,44.02949861480413,44.27218246459961,90056400.0
2018-05-30,44.2297722871285,44.29574438476563,44.00829298997112,44.17793655395508,74762000.0
2018-05-31,44.111965976448204,44.349936508610654,43.857500621703196,44.02949905395508,109931200.0
2018-06-01,44.29338170067204,44.82822656955289,44.236832657593474,44.823516845703125,93770000.0
2018-06-04,45.15339832964452,45.57279404120709,45.08507134987317,45.19816589355469,105064800.0
2018-06-05,45.49032571725215,45.69531022935619,45.32303698544506,45.546871185302734,86264000.0
2018-06-06,45.622271460181125,45.72829781152777,45.219367010811325,45.704734802246094,83734400.0
2018-06-07,45.74243130384017,45.756567670436446,45.318322329900795,45.58221435546875,85388800.0
2018-06-08,45.04264641511956,45.238207849226285,44.71278592096952,45.16752243041992,106627200.0
2018-06-11,45.08506190990398,45.231142481373176,44.81646017789385,45.056785583496094,73234000.0
2018-06-12,45.09448614256514,45.381937568012425,45.0379370834704,45.30418395996094,67644400.0
2018-06-13,45.33716689476205,45.445551685104874,44.87064887374254,44.931907653808594,86553600.0
2018-06-14,45.13217513383571,45.136888453145275,44.8188059111202,44.95546340942383,86440400.0
2018-06-15,44.7740470200036,44.8046782086226,44.357006263123864,44.4936637878418,246876800.0
2018-06-18,44.26747459129005,44.5831987359482,44.107254061254174,44.4701042175293,73939600.0
2018-06-19,43.62188314112478,43.90226635171033,43.2236921005594,43.75147247314453,134314000.0
2018-06-20,43.90698086547268,44.10725202475832,43.76089670758285,43.94232177734375,82514800.0
2018-06-21,44.11904287817479,44.37822160419487,43.57477114874314,43.69729232788086,102847600.0
2018-06-22,43.852798889338096,43.85986707368123,43.51822498132365,43.57006072998047,108801600.0
2018-06-25,43.21190629335723,43.5700430674738,42.58281297536606,42.92210006713867,126652400.0
2018-06-26,43.11531391910178,43.94939183167297,43.009283988552895,43.45459747314453,98276800.0
2018-06-27,43.64309815806819,44.12611109590688,43.36036001732693,43.3909912109375,101141200.0
2018-06-28,43.37685028509541,43.87399953844859,43.30616485853516,43.70671081542969,69460800.0
2018-06-29,43.892854866130506,44.104911190433064,43.0964761052573,43.614830017089844,90950800.0
2018-07-02,43.310881360931305,44.13082302172207,43.21663292019015,44.10254669189453,70925200.0
2018-07-03,44.246258231018516,44.28395759522698,43.244891788690005,43.33442687988281,55819200.0
2018-07-05,43.65016137767174,43.92112157794117,43.41925900843449,43.68314743041992,66416800.0
2018-07-06,43.687867834498626,44.39706988118077,43.63603208674531,44.28868865966797,69940800.0
