timestamp,ORCL,TSLA,GOOGL,MSFT,AAPL,AMZN,NVDA,META
2016-02-17,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0
2016-02-18,-0.3333333333333333,0.0,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
2016-02-19,-0.35,-0.24039281159160875,-0.0935601491651265,0.0,0.0,0.06820211521761166,0.0,0.0
2016-02-22,-0.35,-0.08455356909737514,0.0,0.0,0.0,0.11388507201814616,0.0,0.0
2016-02-23,0.0,-0.21525928976440448,-0.35,0.0,0.0,0.2671318605551605,0.0,0.0
2016-02-24,0.0,-0.1558591915893131,-0.35,0.0,-0.2971134707695205,0.1920982373612974,0.0,0.0
2016-02-25,0.0,-0.30266304269177874,-0.35,0.0,0.0,0.0,0.0,0.0
2016-02-26,0.0,-0.35,0.0,0.0,0.0,-0.35,0.0,0.0
2016-02-29,0.0,-0.227252930071609,0.0,0.0,-0.35,0.3068812051597554,0.0,0.0
2016-03-01,0.0,-0.25065826753985876,-0.35,0.0,0.0,0.31194523963635007,0.0,0.0
2016-03-02,-0.35,-0.19369103478095512,0.0,0.0,0.0,0.23979606155102764,-0.18455649584649778,0.0
2016-03-03,-0.35,-0.21346207855976715,0.0,0.344628764402336,0.0,0.0,0.0,0.0
2016-03-04,-0.35,-0.22932788603128298,0.0,0.0,0.0,-0.2922553716558668,0.0,0.0
2016-03-07,0.0,-0.26181425120916263,-0.35,0.0,0.0,0.31189804565747065,0.0,0.0
2016-03-08,-0.35,0.23051886435308133,0.0,0.0,0.0,0.28583659502801756,0.0,0.0
2016-03-09,-0.35,-0.228850955847141,0.0,0.0,0.0,0.2874548826075029,0.0,0.0
2016-03-10,0.0,-0.35,0.0,0.0,0.0,0.35,0.0,0.0
2016-03-11,0.0,0.0,-0.35,0.0,0.0,0.0,0.0,-0.35
2016-03-14,-0.2559059827778797,-0.13073316909461374,-0.21919250128886705,0.0,0.0,-0.1734637805704634,0.0,-0.22070456626817617
2016-03-15,-0.35,-0.21586575928927385,-0.35,0.0,0.0,0.0,0.0,0.0
2016-03-16,0.0,0.0,-0.35,0.0,0.0,-0.35,0.0,0.0
2016-03-17,0.0,-0.17520718400467752,-0.30264283387731333,0.0,0.3064971905639662,0.215652791554043,0.0,0.0
2016-03-18,0.0,-0.2521217296822088,0.0,0.0,0.35,0.30808432048983564,0.0,0.0
2016-03-21,0.0,0.0,-0.3460510226979076,0.0,0.35,-0.3007337758013192,0.0,0.0
2016-03-22,-0.181275659835809,0.0,-0.20615280228798713,0.0,0.23015312084213974,0.0,-0.1660963105556709,-0.21632210647839326
2016-03-23,-0.19799500873936832,-0.11977559924584692,-0.23635621776011015,0.0,0.0,-0.19118363845676004,0.0,-0.25468953579791465
2016-03-24,-0.16898954065898256,-0.10569261555199154,-0.19948040600993075,0.0,0.0,-0.15247673241483456,-0.15728116255364016,-0.21607954281062053
2016-03-28,-0.14404799081010927,-0.09013148486035913,-0.17116659692516792,0.14601818485265225,0.0,-0.12913960301047978,-0.13531006953885075,-0.18418607000238083
2016-03-29,-0.35,-0.22101580819817246,-0.35,0.0,0.0,0.0,0.0,0.0
2016-03-30,-0.16152351553189015,-0.09315552605158614,-0.21084178385015812,0.0,0.21470638756514854,-0.15561697347797365,-0.16415581352324335,0.0
2016-03-31,-0.16493252550024004,-0.09402036551120511,-0.21013439812026966,0.0,0.21187062736474274,-0.1548982156777378,-0.16414386782580453,0.0
2016-04-01,0.0,-0.14071944457175536,-0.3198258333390031,0.0,0.3112023446769008,-0.22825237741234086,0.0,0.0
2016-04-04,-0.19567090531365378,-0.11031580352321153,-0.2547639815990624,0.0,0.2568724298176312,-0.18237687974644107,0.0,0.0
2016-04-05,0.0,-0.10187171155274008,-0.29055503325582527,0.0,0.24104245634710633,0.18135376502872239,-0.1851770338156059,0.0
2016-04-06,0.0,-0.12693987944597462,-0.35,0.0,0.31110969834655267,-0.20976475278310683,0.0,0.0
2016-04-07,0.0,-0.17654534029753627,-0.35,0.0,0.0,-0.29694730670138486,0.0,0.0
2016-04-08,-0.2791401746138762,0.0,-0.35,0.0,0.0,-0.2574464526213952,0.0,0.0
2016-04-11,0.0,-0.15941895219631366,-0.35,0.0,0.0,-0.28684627246501354,0.0,0.0
2016-04-12,0.0,-0.16372454973644793,-0.35,0.0,0.0,-0.2857685359420948,0.0,0.0
2016-04-13,0.0,-0.13985655813682946,0.0,0.0,0.32878826254567406,-0.2397822587101,-0.2915729206073964,0.0
2016-04-14,0.0,0.09173092582097947,-0.3116753805289381,0.0,0.22239119205655783,-0.15939526914848406,-0.2148072324450405,0.0
2016-04-15,-0.21821199061929994,0.08953991341621223,-0.29931554697086854,0.0,0.0,-0.1750504880332549,-0.21788206096036444,0.0
2016-04-18,-0.3166720473913204,-0.11850096161941456,0.0,0.0,0.0,-0.23891505619411055,-0.3259119347951547,0.0
2016-04-19,0.0,-0.3394480031782935,0.0,0.0,0.0,-0.35,0.0,0.0
2016-04-20,0.0,-0.34164652735189144,0.0,0.0,0.0,-0.35,0.0,0.0
2016-04-21,0.0,0.23406304104063094,0.0,0.0,0.0,-0.35,0.0,-0.35
2016-04-22,0.0,-0.24106397460886256,-0.35,0.0,0.0,0.35,0.0,0.0
2016-04-25,0.0,0.23955587805909215,0.35,0.0,0.0,-0.35,0.0,0.0
2016-04-26,0.0,0.23290926682877763,0.0,0.0,0.0,0.35,0.0,0.35
2016-04-27,0.0,0.35,0.0,0.0,0.35,0.0,0.0,0.0
2016-04-28,0.3188052842456348,0.12803881638146516,-0.18113969073914474,0.0,0.15727561308392563,0.21474059554982963,0.0,0.0
2016-04-29,0.35,0.0,0.2376545781778045,0.0,0.2083548590993617,0.1486470575797092,0.0,0.0
2016-05-02,0.0,-0.2355112943951326,0.301940314874564,0.0,0.27583741117266336,0.18671097955763988,0.0,0.0
2016-05-03,0.0,-0.2394305116391334,0.306278901148357,0.0,0.26705593895834345,0.18723464825416608,0.0,0.0
2016-05-04,0.0,0.17743008044739994,0.21952532173336045,0.0,0.1922462573062245,0.0,-0.24185865454872302,-0.16893968596429204
2016-05-05,0.0,0.2398329538899166,0.31951932847087117,0.0,0.0,0.19451452400496388,0.0,-0.24613319363424824
2016-05-06,0.35,0.23564332179941627,0.0,0.0,0.0,0.191697669166911,0.0,0.0
2016-05-09,0.0,0.3364655742395694,0.0,0.0,0.0,0.27937402133300204,0.0,-0.35
2016-05-10,0.0,0.33756979606958415,0.0,0.0,0.0,-0.2737998439511352,0.0,-0.35
2016-05-11,0.35,0.0,0.0,0.0,0.0,0.1756107319931718,0.0,-0.24613377552516222
2016-05-12,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.0
2016-05-13,0.0,0.35,0.0,0.0,0.0,0.0,-0.3473211436132013,0.0
2016-05-16,0.0,0.2846157991965065,-0.35,0.0,0.0,-0.21100311665215046,-0.15144019441884812,0.0
2016-05-17,0.0,0.23456071969075445,0.28742586630378447,0.23562096164554,0.0,0.0,0.0,0.24239245235992118
2016-05-18,0.0,-0.35,0.35,0.0,0.0,0.0,0.0,0.0
2016-05-19,0.35,-0.14710083691332443,0.2042283625667198,0.0,0.0,0.11961441734207753,0.0,0.17091191699821184
2016-05-20,0.0,0.35,0.0,0.0,0.0,0.34204167232815885,-0.247081919563634,0.0
2016-05-23,0.0,0.0,0.35,0.0,0.0,0.17656602736623575,-0.1283963575191935,0.2611582574461423
2016-05-24,0.0,0.27462638595287636,-0.35,0.0,0.0,0.0,-0.16594812637281756,0.0
2016-05-25,-0.3151534404385955,0.15070674492431452,-0.3105462357545847,0.0,0.0,-0.13170023183022722,-0.09189334705227813,0.0
2016-05-26,0.0,-0.19728234496361607,-0.35,0.0,0.0,-0.18163700144121758,-0.12969898929143422,0.0
2016-05-27,0.0,0.32034733696204465,0.0,0.0,0.0,-0.35,-0.20909138481416872,0.0
2016-05-31,0.0,0.30293178070355037,0.0,0.0,0.0,-0.35,-0.19722670729402722,0.0
2016-06-01,0.0,0.17995846912812025,-0.35,0.0,0.0,-0.29646471146080344,-0.11166628321822546,0.0
2016-06-02,0.0,0.3272361711336881,0.0,0.0,0.0,-0.35,-0.1892302593198441,0.0
2016-06-03,0.0,0.23218077188293126,-0.35,0.0,0.0,-0.29683550679254656,-0.10664846452829936,0.0
2016-06-06,0.0,0.2552367085694096,0.35,0.0,0.0,-0.33982858727905046,0.0,0.0
2016-06-07,0.23550086827019612,-0.17566282380849624,0.32209627863036683,0.0,0.0,-0.26674002929094087,0.0,0.0
2016-06-08,0.0,-0.28951823092759454,0.0,0.0,0.0,-0.35,-0.14824429372920578,0.0
2016-06-09,0.0,0.17239923110779468,-0.35,0.0,0.0,-0.35,-0.09515133476570481,0.0
2016-06-10,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
2016-06-13,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.35
2016-06-14,0.0,-0.1705659143007684,-0.35,0.0,0.0,0.35,0.0,0.0
2016-06-15,0.0,-0.11339255196384725,-0.2755398027551191,0.0,0.0,0.33869051990639965,0.0,0.27237712537463415
2016-06-16,0.0,0.18084295227772956,0.35,0.0,0.0,0.0,0.0,0.35
2016-06-17,0.21270919396978624,0.1374490059413697,0.0,0.0,0.0,0.3442797269145268,0.0,0.30556207317431733
2016-06-20,0.0,0.19623816335693053,0.35,0.0,0.0,0.0,0.0,0.35
2016-06-21,-0.22592256137733954,0.14637177156077424,0.270118321520936,0.0,0.0,0.35,0.0,0.0
2016-06-22,0.0,0.12531188780084726,0.35,0.0,0.0,0.35,0.0,0.0
2016-06-23,0.0,0.22305799225885958,0.0,0.0,0.0,-0.35,0.0,0.0
2016-06-24,0.0,0.11861270615505484,0.2719304501524153,0.24920360174982187,0.0,0.0,0.0,0.35
